field_name,state,live_endpoints,historical_grains,candidate_family,review_status
_limit,LIVE_ONLY,competition_teams | match_commentary | matches | player_directory | player_leaderboard | season_teams | team_leaderboard,,FOOTBALL_RESEARCH;IDENTITY_CONTEXT,OPEN
_next,LIVE_ONLY,competition_teams | match_commentary | matches | player_directory | player_leaderboard | season_teams | team_leaderboard,,FOOTBALL_RESEARCH;IDENTITY_CONTEXT,OPEN
_prev,LIVE_ONLY,competition_teams | match_commentary | matches | player_directory | player_leaderboard | season_teams | team_leaderboard,,FOOTBALL_RESEARCH;IDENTITY_CONTEXT,OPEN
abbr,LIVE_ONLY,competition_teams | match_detail | matches | season_teams | standings | team_leaderboard | team_stats,,FOOTBALL_RESEARCH;IDENTITY_CONTEXT,OPEN
abbreviation,LIVE_ONLY,broadcast_match_events,,CONTENT_MEDIA,OPEN
area,LIVE_ONLY,broadcast_match_events,,CONTENT_MEDIA,OPEN
areas,LIVE_ONLY,broadcast_match_events,,CONTENT_MEDIA,OPEN
aspectRatio,LIVE_ONLY,broadcast_match_events,,CONTENT_MEDIA,OPEN
assistPlayerId,LIVE_ONLY,match_events,,FOOTBALL_RESEARCH,OPEN
away,LIVE_ONLY,standings,,IDENTITY_CONTEXT,OPEN
awayTeam,LIVE_ONLY,match_detail | match_events | matches,,FOOTBALL_RESEARCH,OPEN
away_team,LIVE_ONLY,match_lineups,,FOOTBALL_RESEARCH,OPEN
birth,LIVE_ONLY,player_season_info | season_awards | team_squad,,IDENTITY_CONTEXT,OPEN
broadcaster,LIVE_ONLY,broadcast_match_events,,CONTENT_MEDIA,OPEN
broadcasters,LIVE_ONLY,broadcast_match_events,,CONTENT_MEDIA,OPEN
capacity,LIVE_ONLY,season_teams,,IDENTITY_CONTEXT,OPEN
cards,LIVE_ONLY,match_events,,FOOTBALL_RESEARCH,OPEN
career,LIVE_ONLY,season_awards,,IDENTITY_CONTEXT,OPEN
channelTypes,LIVE_ONLY,broadcast_match_events,,CONTENT_MEDIA,OPEN
channels,LIVE_ONLY,broadcast_match_events,,CONTENT_MEDIA,OPEN
city,LIVE_ONLY,competition_teams | season_teams,,IDENTITY_CONTEXT,OPEN
clock,LIVE_ONLY,match_detail | matches,,FOOTBALL_RESEARCH,OPEN
code,LIVE_ONLY,competition | standings,,IDENTITY_CONTEXT,OPEN
comment,LIVE_ONLY,match_commentary,,FOOTBALL_RESEARCH,OPEN
competition,LIVE_ONLY,match_detail | matches | standings,,FOOTBALL_RESEARCH;IDENTITY_CONTEXT,OPEN
competitionId,LIVE_ONLY,match_detail | matches | player_directory | player_season_info | team_squad,,FOOTBALL_RESEARCH;IDENTITY_CONTEXT,OPEN
content,LIVE_ONLY,broadcast_match_events | player_profile_content,,CONTENT_MEDIA,OPEN
contentReference,LIVE_ONLY,broadcast_match_events,,CONTENT_MEDIA,OPEN
country,LIVE_ONLY,player_basic | player_directory | player_leaderboard | player_season_info | player_season_stats | season_awards | season_teams | team_squad,,FOOTBALL_RESEARCH;IDENTITY_CONTEXT,OPEN
countryOfBirth,LIVE_ONLY,player_season_info | season_awards | team_squad,,IDENTITY_CONTEXT,OPEN
crossingAccuracy,LIVE_ONLY,team_leaderboard,,FOOTBALL_RESEARCH,OPEN
